Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.010638	2.008240	0.011645	2.430221	10.000000	2.430205	10.000000	
1.879913	1.872368	0.012498	1.933132	44.120000	1.928589	44.010000	
1.990523	1.979620	0.011005	1.999223	33.580000	1.999423	34.290000	
1.997416	1.982392	0.010753	2.054201	32.440000	2.052072	31.960000	
1.980168	1.960827	0.010763	2.027418	34.340000	2.022872	34.090000	
1.934947	1.910567	0.011063	1.936083	40.840000	1.930604	40.620000	
1.842960	1.812690	0.011636	1.833168	47.980000	1.830711	47.210000	
1.758323	1.722889	0.011803	1.712511	53.900000	1.712189	53.320000	
1.655240	1.613784	0.012196	1.627339	55.900000	1.628132	55.750000	
1.676014	1.630894	0.011879	1.589390	57.220000	1.597081	56.550000	
1.693256	1.644831	0.011532	1.467434	61.600000	1.479487	60.840000	
1.675791	1.623986	0.011272	1.515527	61.840000	1.523935	60.520000	
1.818164	1.769137	0.009782	1.785646	44.400000	1.784325	44.980000	
1.651360	1.591064	0.011162	1.446157	61.760000	1.449722	61.760000	
1.626140	1.559018	0.011571	1.276177	67.800000	1.283807	66.940000	
1.549466	1.477011	0.011686	1.133925	70.660000	1.145364	69.480000	
1.521882	1.442138	0.012080	1.033637	72.860000	1.047852	71.990000	
1.506457	1.422356	0.012015	0.967277	74.640000	0.983049	73.510000	
1.470451	1.381214	0.012060	0.910520	75.680000	0.927514	74.560000	
