Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.061620	2.061620	0.000000	1.657878	40.120000	1.659683	39.720000	
1.598610	1.598610	0.000000	1.469891	46.340000	1.473086	46.390000	
1.392939	1.392939	0.000000	1.375894	51.060000	1.402176	49.820000	
1.299514	1.299514	0.000000	1.276944	56.600000	1.293921	56.070000	
1.220389	1.220389	0.000000	1.282851	55.340000	1.310320	54.390000	
1.210029	1.210029	0.000000	1.078732	64.680000	1.105208	62.760000	
1.190260	1.190260	0.000000	1.043593	65.500000	1.071788	64.560000	
1.081371	1.081371	0.000000	1.035459	63.040000	1.067158	62.300000	
0.997706	0.997706	0.000000	0.933442	69.120000	0.943732	68.840000	
0.949286	0.949286	0.000000	0.863641	71.580000	0.888487	70.590000	
