Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.462805	3.462805	0.000000	4.753876	0.940000	2.832134	29.450000	
2.742921	2.742921	0.000000	4.753876	0.940000	2.675714	31.800000	
2.518198	2.518198	0.000000	4.753876	0.940000	2.646228	32.450000	
2.366343	2.366343	0.000000	4.753876	0.940000	2.579736	34.450000	
2.238155	2.238155	0.000000	4.753876	0.940000	2.558940	35.450000	
2.155103	2.155103	0.000000	4.753876	0.940000	2.573758	33.850000	
2.051057	2.051057	0.000000	4.753876	0.940000	2.550683	34.750000	
1.979013	1.979013	0.000000	4.753876	0.940000	2.538945	35.150000	
1.896155	1.896155	0.000000	4.753876	0.940000	2.515934	35.750000	
1.843077	1.843077	0.000000	4.753876	0.940000	2.523284	35.900000	
1.770463	1.770463	0.000000	4.753876	0.940000	2.544108	34.900000	
1.714667	1.714667	0.000000	4.753876	0.940000	2.518759	37.650000	
1.661604	1.661604	0.000000	4.753876	0.940000	2.539731	36.600000	
1.614849	1.614849	0.000000	4.753876	0.940000	2.527454	36.300000	
1.582766	1.582766	0.000000	4.753876	0.940000	2.511884	36.250000	
1.533737	1.533737	0.000000	4.753876	0.940000	2.521705	38.000000	
1.474487	1.474487	0.000000	4.753876	0.940000	2.533012	36.650000	
1.455990	1.455990	0.000000	4.753876	0.940000	2.563260	36.600000	
1.424356	1.424356	0.000000	4.753876	0.940000	2.574608	36.300000	
1.358458	1.358458	0.000000	4.753876	0.940000	2.589704	36.450000	
1.320757	1.320757	0.000000	4.753876	0.940000	2.594472	36.050000	
1.317405	1.317405	0.000000	4.753876	0.940000	2.592273	37.100000	
1.285654	1.285654	0.000000	4.753876	0.940000	2.599652	37.650000	
1.267402	1.267402	0.000000	4.753876	0.940000	2.580589	38.100000	
1.231753	1.231753	0.000000	4.753876	0.940000	2.592512	37.650000	
1.213427	1.213427	0.000000	4.753876	0.940000	2.594519	37.750000	
1.187474	1.187474	0.000000	4.753876	0.940000	2.595265	37.400000	
1.149284	1.149284	0.000000	4.753876	0.940000	2.594030	37.950000	
1.143070	1.143070	0.000000	4.753876	0.940000	2.601847	36.900000	
1.104267	1.104267	0.000000	4.753876	0.940000	2.612587	36.950000	
1.097645	1.097645	0.000000	4.753876	0.940000	2.615119	37.600000	
1.092866	1.092866	0.000000	4.753876	0.940000	2.618092	37.700000	
1.047532	1.047532	0.000000	4.753876	0.940000	2.636005	37.600000	
1.053377	1.053377	0.000000	4.753876	0.940000	2.635067	37.550000	
1.040044	1.040044	0.000000	4.753876	0.940000	2.634600	37.250000	
1.017668	1.017668	0.000000	4.753876	0.940000	2.636538	37.250000	
1.013579	1.013579	0.000000	4.753876	0.940000	2.635107	37.550000	
1.007866	1.007866	0.000000	4.753876	0.940000	2.635221	37.050000	
1.005095	1.005095	0.000000	4.753876	0.940000	2.636690	37.450000	
0.988866	0.988866	0.000000	4.753876	0.940000	2.638904	37.700000	
0.985823	0.985823	0.000000	4.753876	0.940000	2.633658	37.400000	
0.975947	0.975947	0.000000	4.753876	0.940000	2.638500	37.450000	
0.978927	0.978927	0.000000	4.753876	0.940000	2.638058	37.450000	
0.969332	0.969332	0.000000	4.753876	0.940000	2.637722	37.650000	
0.945909	0.945909	0.000000	4.753876	0.940000	2.638360	37.750000	
0.943079	0.943079	0.000000	4.753876	0.940000	2.638019	37.650000	
0.960711	0.960711	0.000000	4.753876	0.940000	2.638436	37.650000	
0.960730	0.960730	0.000000	4.753876	0.940000	2.638705	37.600000	
0.972440	0.972440	0.000000	4.753876	0.940000	2.638514	37.600000	
0.952587	0.952587	0.000000	4.753876	0.940000	2.638573	37.600000	
