Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.755787	3.755787	0.000000	0.000000	0.000000	3.186084	22.050000	
3.000730	3.000730	0.000000	0.000000	0.000000	2.838563	29.950000	
2.728274	2.728274	0.000000	0.000000	0.000000	2.591335	35.400000	
2.569109	2.569109	0.000000	0.000000	0.000000	2.383792	37.750000	
2.477306	2.477306	0.000000	0.000000	0.000000	2.301824	40.650000	
2.351181	2.351181	0.000000	0.000000	0.000000	2.246516	42.700000	
2.270030	2.270030	0.000000	0.000000	0.000000	2.202466	44.100000	
2.180813	2.180813	0.000000	0.000000	0.000000	2.036145	45.400000	
2.120113	2.120113	0.000000	0.000000	0.000000	2.094523	46.050000	
2.063493	2.063493	0.000000	0.000000	0.000000	2.103325	46.100000	
1.984451	1.984451	0.000000	0.000000	0.000000	2.070262	48.850000	
1.943426	1.943426	0.000000	0.000000	0.000000	1.940626	48.800000	
1.876810	1.876810	0.000000	0.000000	0.000000	1.939898	50.650000	
1.820677	1.820677	0.000000	0.000000	0.000000	2.023447	48.800000	
1.758890	1.758890	0.000000	0.000000	0.000000	1.949616	49.400000	
1.737617	1.737617	0.000000	0.000000	0.000000	1.924499	51.400000	
1.623463	1.623463	0.000000	0.000000	0.000000	1.826650	52.700000	
1.589038	1.589038	0.000000	0.000000	0.000000	1.825071	53.500000	
1.512025	1.512025	0.000000	0.000000	0.000000	1.822653	55.200000	
1.473849	1.473849	0.000000	0.000000	0.000000	1.647368	57.000000	
1.400688	1.400688	0.000000	0.000000	0.000000	1.723938	56.450000	
1.348369	1.348369	0.000000	0.000000	0.000000	1.715108	56.950000	
1.277847	1.277847	0.000000	0.000000	0.000000	1.629945	58.750000	
1.218759	1.218759	0.000000	0.000000	0.000000	1.648757	58.700000	
1.153985	1.153985	0.000000	0.000000	0.000000	1.583691	59.700000	
1.096890	1.096890	0.000000	0.000000	0.000000	1.595747	59.900000	
1.024602	1.024602	0.000000	0.000000	0.000000	1.520771	60.550000	
0.963762	0.963762	0.000000	0.000000	0.000000	1.473077	62.650000	
0.896512	0.896512	0.000000	0.000000	0.000000	1.507604	62.000000	
0.837444	0.837444	0.000000	0.000000	0.000000	1.413496	64.800000	
0.763262	0.763262	0.000000	0.000000	0.000000	1.486348	64.750000	
0.708439	0.708439	0.000000	0.000000	0.000000	1.478110	64.600000	
0.641449	0.641449	0.000000	0.000000	0.000000	1.438856	65.900000	
0.596957	0.596957	0.000000	0.000000	0.000000	1.388470	67.150000	
0.527810	0.527810	0.000000	0.000000	0.000000	1.412991	66.950000	
0.485817	0.485817	0.000000	0.000000	0.000000	1.385188	67.800000	
0.430812	0.430812	0.000000	0.000000	0.000000	1.385432	68.700000	
0.389895	0.389895	0.000000	0.000000	0.000000	1.442975	68.100000	
0.330252	0.330252	0.000000	0.000000	0.000000	1.489897	67.250000	
0.295557	0.295557	0.000000	0.000000	0.000000	1.482270	68.600000	
0.262031	0.262031	0.000000	0.000000	0.000000	1.477941	69.450000	
0.225747	0.225747	0.000000	0.000000	0.000000	1.509812	69.050000	
0.200238	0.200238	0.000000	0.000000	0.000000	1.554248	69.300000	
0.179312	0.179312	0.000000	0.000000	0.000000	1.557445	70.000000	
0.156775	0.156775	0.000000	0.000000	0.000000	1.594566	69.600000	
0.148920	0.148920	0.000000	0.000000	0.000000	1.582433	70.350000	
0.135553	0.135553	0.000000	0.000000	0.000000	1.597057	69.950000	
0.129865	0.129865	0.000000	0.000000	0.000000	1.608856	70.750000	
0.122762	0.122762	0.000000	0.000000	0.000000	1.603920	70.850000	
0.123607	0.123607	0.000000	0.000000	0.000000	1.607100	70.750000	
