Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.992929	2.992929	0.000000	0.000000	0.000000	2.478952	37.400000	
2.317641	2.317641	0.000000	0.000000	0.000000	2.158000	43.800000	
2.079757	2.079757	0.000000	0.000000	0.000000	1.853812	48.550000	
1.918924	1.918924	0.000000	0.000000	0.000000	1.842575	51.450000	
1.798338	1.798338	0.000000	0.000000	0.000000	1.772780	53.250000	
1.694874	1.694874	0.000000	0.000000	0.000000	1.766313	53.700000	
1.625742	1.625742	0.000000	0.000000	0.000000	1.696210	54.800000	
1.541695	1.541695	0.000000	0.000000	0.000000	1.612754	56.800000	
1.465476	1.465476	0.000000	0.000000	0.000000	1.597755	57.900000	
1.394292	1.394292	0.000000	0.000000	0.000000	1.601837	58.250000	
1.345973	1.345973	0.000000	0.000000	0.000000	1.511310	59.800000	
1.273392	1.273392	0.000000	0.000000	0.000000	1.540931	59.400000	
1.229376	1.229376	0.000000	0.000000	0.000000	1.601016	60.050000	
1.170366	1.170366	0.000000	0.000000	0.000000	1.538833	60.750000	
1.090013	1.090013	0.000000	0.000000	0.000000	1.525388	60.750000	
1.053216	1.053216	0.000000	0.000000	0.000000	1.500709	61.750000	
1.005633	1.005633	0.000000	0.000000	0.000000	1.451854	62.900000	
0.951877	0.951877	0.000000	0.000000	0.000000	1.494932	61.800000	
0.898937	0.898937	0.000000	0.000000	0.000000	1.535707	61.800000	
0.839337	0.839337	0.000000	0.000000	0.000000	1.387987	64.100000	
0.787601	0.787601	0.000000	0.000000	0.000000	1.414758	64.950000	
0.743904	0.743904	0.000000	0.000000	0.000000	1.463296	63.800000	
0.706199	0.706199	0.000000	0.000000	0.000000	1.397909	64.600000	
0.650653	0.650653	0.000000	0.000000	0.000000	1.371559	65.750000	
0.594945	0.594945	0.000000	0.000000	0.000000	1.365290	66.250000	
0.546343	0.546343	0.000000	0.000000	0.000000	1.401953	66.700000	
0.499040	0.499040	0.000000	0.000000	0.000000	1.444026	66.200000	
0.459855	0.459855	0.000000	0.000000	0.000000	1.367057	67.950000	
0.408401	0.408401	0.000000	0.000000	0.000000	1.448998	66.750000	
0.361361	0.361361	0.000000	0.000000	0.000000	1.385991	68.800000	
0.322894	0.322894	0.000000	0.000000	0.000000	1.435368	68.100000	
0.281263	0.281263	0.000000	0.000000	0.000000	1.397408	69.750000	
0.245257	0.245257	0.000000	0.000000	0.000000	1.492631	68.750000	
0.220592	0.220592	0.000000	0.000000	0.000000	1.511249	68.600000	
0.193018	0.193018	0.000000	0.000000	0.000000	1.513720	69.600000	
0.160927	0.160927	0.000000	0.000000	0.000000	1.514713	70.300000	
0.139958	0.139958	0.000000	0.000000	0.000000	1.531277	70.750000	
0.118541	0.118541	0.000000	0.000000	0.000000	1.543991	70.900000	
0.102171	0.102171	0.000000	0.000000	0.000000	1.573241	70.850000	
0.081988	0.081988	0.000000	0.000000	0.000000	1.631635	71.000000	
0.074168	0.074168	0.000000	0.000000	0.000000	1.621023	71.650000	
0.063925	0.063925	0.000000	0.000000	0.000000	1.635901	71.450000	
0.054178	0.054178	0.000000	0.000000	0.000000	1.661862	71.750000	
0.049152	0.049152	0.000000	0.000000	0.000000	1.670268	71.750000	
0.043057	0.043057	0.000000	0.000000	0.000000	1.689422	72.100000	
0.041080	0.041080	0.000000	0.000000	0.000000	1.713907	71.800000	
0.038996	0.038996	0.000000	0.000000	0.000000	1.717698	71.850000	
0.035967	0.035967	0.000000	0.000000	0.000000	1.720052	71.800000	
0.035641	0.035641	0.000000	0.000000	0.000000	1.721899	71.700000	
0.035163	0.035163	0.000000	0.000000	0.000000	1.722488	71.950000	
