Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.407254	2.404293	0.015744	1.877852	32.820000	1.905396	32.850000	
1.676451	1.665889	0.017701	0.865306	74.680000	0.874496	74.600000	
1.639911	1.619423	0.020404	0.540508	86.660000	0.541154	86.750000	
1.500481	1.473761	0.019247	0.442082	89.680000	0.441134	90.100000	
1.415081	1.384765	0.016872	0.384664	91.820000	0.383814	92.000000	
1.481319	1.439595	0.018907	0.341677	93.160000	0.339748	93.150000	
1.426749	1.381978	0.017299	0.329954	93.740000	0.327311	93.750000	
1.398364	1.348785	0.016596	0.314114	94.280000	0.311214	94.050000	
1.561366	1.493804	0.019899	0.304429	94.460000	0.301141	94.550000	
1.399943	1.334824	0.017171	0.301825	94.600000	0.299507	94.650000	
1.563528	1.485960	0.018472	0.296287	94.900000	0.294031	94.850000	
1.558463	1.475092	0.018134	0.303253	95.120000	0.300418	94.900000	
307441	1.227125	0.016120	1.716118	39.800000	1.754769	38.450000	
1.567913	1.467082	0.018765	1.637490	42.440000	1.674384	41.800000	
1.498281	1.392486	0.018222	1.563235	45.580000	1.598457	45.350000	
1.283126	1.186888	0.015561	1.493417	48.780000	1.527081	48.800000	
