Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
1.831371	1.827836	0.017641	2.618127	14.860000	2.649522	13.200000	
1.494063	1.482945	0.018626	2.163211	24.700000	2.190144	23.100000	
1.406506	1.388503	0.018042	1.780074	37.060000	1.802925	35.650000	
1.324250	1.300825	0.016877	1.467888	50.020000	1.487483	49.700000	
1.368043	1.336816	0.017327	1.213280	63.000000	1.229669	61.650000	
1.288861	1.252797	0.016376	1.011301	72.580000	1.025350	71.200000	
1.323094	1.281896	0.015898	0.855462	80.940000	0.867725	80.250000	
1.370869	1.320654	0.016700	0.731695	86.260000	0.742516	86.350000	
1.285361	1.232772	0.015475	0.638375	89.060000	0.647870	89.800000	
1.249358	1.191288	0.015266	0.559824	91.280000	0.568194	92.100000	
1.340537	1.269458	0.016909	0.501518	92.960000	0.509052	93.300000	
1.307781	1.237569	0.015273	0.454327	94.080000	0.461352	94.550000	
1.250978	1.174660	0.015251	0.414105	94.960000	0.420649	95.100000	
1.351202	1.260665	0.016776	0.384804	95.520000	0.391158	95.400000	
1.218946	1.134706	0.014536	0.359078	95.940000	0.365349	96.050000	
1.207139	1.113610	0.015099	0.335556	96.320000	0.341727	96.350000	
1.320887	1.217409	0.015697	0.317617	96.560000	0.323762	96.700000	
1.256522	1.154564	0.014567	0.301614	96.720000	0.307822	96.850000	
1.322280	1.207063	0.015576	0.289906	96.920000	0.296298	97.000000	
1.379798	1.254684	0.016038	0.281574	97.100000	0.288103	97.050000	
1.368864	1.236519	0.016133	0.274401	97.200000	0.281039	96.950000	
1.397984	1.259778	0.016066	0.269120	97.200000	0.275943	97.000000	
1.362506	1.221620	0.015655	0.265059	97.240000	0.271981	97.050000	
1.383335	1.238757	0.015382	0.260800	97.300000	0.267632	97.100000	
1.396160	1.237963	0.016151	0.257370	97.340000	0.264177	97.150000	
1.362208	1.203084	0.015598	0.253579	97.380000	0.260397	97.150000	
1.246072	1.102843	0.013511	0.249319	97.440000	0.256073	97.300000	
1.316665	1.153407	0.014850	0.244785	97.440000	0.251494	97.400000	
1.376015	1.201483	0.015303	0.241132	97.420000	0.247901	97.450000	
1.409404	1.222970	0.015788	0.239455	97.580000	0.246187	97.450000	
1.340375	1.157131	0.015022	0.237960	97.600000	0.244791	97.450000	
1.398092	1.207287	0.015134	0.235761	97.620000	0.242619	97.550000	
1.376043	1.180660	0.015027	0.234700	97.640000	0.241624	97.550000	
1.445430	1.231606	0.015953	0.233800	97.680000	0.240774	97.600000	
1.374716	1.171737	0.014710	0.233474	97.660000	0.240508	97.650000	
1.429891	1.209635	0.015514	0.232906	97.640000	0.239947	97.650000	
1.392518	1.171575	0.015131	0.232094	97.660000	0.239161	97.650000	
1.503827	1.263907	0.015988	0.231747	97.660000	0.238835	97.650000	
1.410647	1.179874	0.014992	0.231915	97.680000	0.238987	97.650000	
1.412834	1.181112	0.014673	0.231782	97.680000	0.238851	97.600000	
1.392435	1.157171	0.014525	0.231237	97.660000	0.238306	97.600000	
1.359623	1.124183	0.014187	0.230394	97.680000	0.237455	97.600000	
1.419517	1.164886	0.014977	0.229374	97.680000	0.236389	97.600000	
1.443898	1.183942	0.014948	0.228675	97.700000	0.235628	97.600000	
1.477761	1.203124	0.015430	0.227997	97.720000	0.234921	97.600000	
1.427688	1.156369	0.014902	0.227376	97.720000	0.234264	97.600000	
1.515212	1.222598	0.015727	0.226911	97.740000	0.233751	97.600000	
1.459593	1.176457	0.014911	0.226563	97.740000	0.233369	97.600000	
1.476631	1.184146	0.015077	0.226252	97.740000	0.233032	97.600000	
1.523340	1.213181	0.015661	0.225987	97.740000	0.232743	97.650000	
