Model,Accuracy,Latency
mobilenetv2_x0_5,71.04,36.91
mobilenetv2_x0_75,74.42,37.05
mobilenetv2_x1_0,74.44,36.12
mobilenetv2_x1_4,76.04,37
repvgg_a0,76.24,41.82
repvgg_a1,76.44,41.98
repvgg_a2,77.24,46.43
resnet20,68.78,17.06
resnet32,69.42,28.64
resnet44,71.52,36.63
resnet56,72.12,47.22
shufflenetv2_x0_5,67.86,46.91
shufflenetv2_x1_0,73.1,47.06
shufflenetv2_x1_5,74.36,49.13
shufflenetv2_x2_0,75,49.69
vgg11_bn,70.44,10.97
vgg13_bn,74.02,12.94
vgg16_bn,74.68,16.6
vgg19_bn,75.16,20.24
vit_small_patch16_384,90.04,36.16
vit_base_patch16_384,90.1,39.29
vit_large_patch16_384,90.82,73.69
convnext_tiny,89.44,37.90
convnext_base,93.14,72.30
convnext_large,93.08,73.63
